halt_id,halt_diva,halt_kurz,halt_lang,halt_ist_aktiv
1729,3378,PTHA01,"Thalwil, Post",True
1736,6485,GARG01,Garage Adliswil,True
1741,1648,MITL,"Zürich, Mittelleimbach",True
1743,6492,RPAR,"Rüschlikon, Park im Grüene",True
1748,1657,MOOS,"Rüschlikon, Moosstrasse",True
1755,830,FBLU01,"Adliswil, Feldblumenstrasse",True
1764,2006,POST01,"Adliswil, Poststrasse",True
1773,2682,TRIS,"Zürich, Triemlispital",True
1784,6682,RHOE07,"Rümlang, Hörnlistrasse",True
1790,1925,PGLA07,"Glattbrugg, Post",True
1797,497,BIGL,"Zürich, Birch-/Glatttalstrasse",True
1809,1763,ORUE07,"Rümlang, Oberdorf",True
1816,972,GESS,"Zürich, Gessnerallee",True
1829,3034,BOER,"Zürich, Bahnhof Oerlikon",True
1843,3122,RIEH,"Zürich, Riedhofstrasse",True
1845,2968,ZEHN,"Zürich, Zehntenhausplatz",True
1846,114,AUBR,"Zürich, Aubrücke",True
1850,1799,RGEM07,"Rümlang, Gemeindehaus",True
1851,6463,SIHC,"Zürich, Sihlcity",True
1852,199,BEDE,"Zürich, Bahnhof Enge/Bederstr.",True
1854,2550,SAAL,"Zürich, Saalsporthalle",True
1858,6700,EngePau,"Zürich, Bhf Enge Pausenplatz",True
1869,1462,KROA01,"Adliswil, Krone",True
1873,845,FELS,"Zürich, Felsenrainstrasse",True
1874,3021,BAFF,"Zürich, Bahnhof Affoltern",True
1879,3146,BDUN07,"Dübendorf, Bahnhof Nord",True
1884,3154,MEHA,"Zürich, Messe/Hallenstadion",True
1885,6255,BOEN,"Zürich, Bahnhof Oerlikon Nord",True
1890,411,NEUQ,"Zürich, Neumühlequai",True
1893,3026,ENGE,"Zürich, Bahnhof Enge",True
1895,416,BSTR,"Zürich, Bahnhofstrasse/HB",True
1904,2264,SOKI,"Kilchberg ZH, Schoorenstrasse",True
1905,1430,KLUS,"Zürich, Klusplatz",True
1906,1357,KALK,"Zürich,Kalkbreite/Bhf.Wiedikon",True
1907,1612,MANG,"Zürich, Manegg",True
1908,1187,HEUR,"Zürich, Heuried",True
1909,1440,KSPI,"Kilchberg ZH, Spital",True
1911,75,ALZE,"Kilchberg ZH, Alterszentrum",True
1916,3446,ETTE,"Zürich, Ettenfeld",True
1919,3447,BOEO,"Zürich, Bahnhof Oerlikon Ost",True
1920,439,BELA07,"Wallisellen, Belair",True
1928,6460,ZFER,"Zürich, Fernsehstudio",True
1931,6461,GGLA07,Glattpark,True
1934,1275,SEPL,"Zürich, Seebacherplatz",True
1938,619,CENT,"Zürich, Central",True
1949,2286,SCHU07,"Opfikon, Schulstrasse",True
1959,3344,DSTA,"Dietikon, Stadthaus",True
1965,2015,ADZOPF01,"Adliswil, Zopf",True
2007,1694,NASS,"Schlieren, Nassacker",True
2008,863,FLUP07,"Dübendorf, Flugplatz",True
2009,2789,VORB,"Bergdietikon, Vorbühl",True
2010,1028,GRIN,"Geroldswil, Grindlen",True
2011,6044,GAAZ,"Zollikon, Garage G.-Maurer-Str",True
2013,6300,SBRE,"Spreitenbach, Breiti",True
2014,6301,SUMW,"Spreitenbach, Umwelt Arena",True
2015,6303,SINT,"Spreitenbach, Interio",True
2016,29,AEGU,"Unterengstringen, Aegelsee",True
2018,3798,VORS,"Dietikon, Vorstadt",True
2019,2798,WAGO,"Schlieren, Wagonsfabrik",True
